"Timestamp","Invn.Supplies","Invn.MedSupplies","Invn.Medications","Invn.Urgent"
2013-07-07 21:05:00,NA,"Critical care or Recovery food, 18 G needles","None",NA
2013-07-08 09:25:00,NA,"Turkey, Bleach","Cefazolin/Ampicillin, Doxycycline liquid, Metronidazole liquid",NA
2013-07-08 20:54:00,NA,"Turkey, Critical care or Recovery food","Cefazolin/Ampicillin, Metronidazole liquid, We are going through Cefazolin quickly Cersei is getting 1.8ML 3 times a day !! Also need Erithromycin eye ointment.",NA
2013-07-09 10:05:00,NA,"Critical care or Recovery food","None",NA
2013-07-09 20:18:00,NA,"None","None",NA
2013-07-10 11:56:00,NA,"None","None",NA
2013-07-10 21:58:00,NA,"None","None",NA
2013-07-11 11:31:00,NA,"Laundry Detergent","Anzemet",NA
2013-07-12 10:54:00,NA,"Canned food, Critical care or Recovery food","Buprenex",NA
2013-07-13 00:25:00,NA,"Critical care or Recovery food","None",NA
2013-07-13 12:25:00,NA,"10cc Syringes, Human water bottles","None",NA
2013-07-13 21:46:00,NA,"Turkey, Critical care or Recovery food","Metronidazole liquid, Panacur (general dewormer)",NA
2013-07-14 12:53:00,NA,"Critical care or Recovery food","None",NA
2013-07-14 13:22:00,NA,"Critical care or Recovery food","Buprenex",NA
2013-07-14 21:53:00,NA,"10cc Syringes","Baytril, Doxycycline liquid, Metronidazole liquid, DAAP vaccines",NA
2013-07-16 12:35:00,NA,"Turkey, Critical care or Recovery food, Toilet Paper, Gloves - small","Buprenex",NA
2013-07-16 22:25:00,NA,"Critical care or Recovery food, Gloves - small, Hand Soap, Parvo tests, ","Cefazolin/Ampicillin, Famotidine, Anzemet, Metronidazole liquid, Flea preventative, Vectra",NA
2013-07-17 22:31:00,NA,"vienna sausages","Cefazolin/Ampicillin, Metronidazole liquid, Benadryl tabs",NA
2013-07-18 21:29:00,NA,"Turkey, Baby Food, Critical care or Recovery food","Metronidazole liquid, Simplicef",NA
2013-07-19 22:17:00,NA,"Turkey, Critical care or Recovery food","Metronidazole liquid",NA
2013-07-20 10:13:00,NA,"Turkey, 3cc Syringes","IV Lines (with port + screw)",NA
2013-07-20 21:53:00,NA,"Turkey, Baby Food, Critical care or Recovery food, Toilet Paper","Metronidazole liquid",NA
2013-07-21 10:31:00,NA,"Critical care or Recovery food, Gloves - small, Bleach, 3cc Syringes","IV Lines (with port + screw), None",NA
2013-07-21 20:44:00,NA,"Baby Food, Laundry Detergent, Bleach, 1cc Syringes, 3cc Syringes, 20G catheters","None",NA
2013-07-22 10:45:00,NA,"Baby Food, Critical care or Recovery food, Laundry Detergent, Bleach, 3cc Syringes, 24G catheters, Catheter caps","LRS, IV Lines (with port + screw)",NA
2013-07-22 21:54:00,NA,"Critical care or Recovery food","Metronidazole liquid",NA
2013-07-23 11:33:00,NA,"Baby Food, 1cc Syringes, 3cc Syringes, bleach","KCL, Tramadol",NA
2013-07-23 23:00:00,NA,"1cc Syringes, 3cc Syringes, Battery for blood glucose monitor","Famotidine, Tramadol",NA
2013-07-24 12:30:00,NA,"1cc Syringes, 3cc Syringes, Battery for blood glucose monitor","Famotidine",NA
2013-07-24 22:03:00,NA,"None","Famotidine, Tramadol! ",NA
2013-07-25 11:49:00,NA,"Critical care or Recovery food, None","None",NA
2013-07-25 20:24:00,NA,"None","None",NA
2013-07-26 10:21:00,NA,"None","None",NA
2013-07-26 20:45:00,NA,"None","Neb Solution",NA
2013-07-27 10:29:00,NA,"Canned food, Baby Food, Critical care or Recovery food, Paper Towels, Gloves - small","IV Lines (with port + screw), Nebulizing solution & shampoo",NA
2013-07-27 21:42:00,NA,"Paper Towels, 22G catheters, 20G catheters","None",NA
2013-07-28 09:49:00,NA,"22G catheters, 20G catheters, Nebulizing solution, Nutrical","None",NA
2013-07-28 20:32:00,NA,"None","None",NA
2013-07-29 11:51:00,NA,"Critical care or Recovery food, nutical","None",NA
2013-07-29 20:33:00,NA,"People water bottles","None",NA
2013-07-30 10:05:00,NA,"Critical care or Recovery food, chicken sticks ","None",NA
2013-07-30 20:29:00,NA,"Canned food","None",NA
2013-07-31 11:28:00,NA,"T port is out","None",NA
2013-07-31 19:40:00,NA,"None","None",NA
2013-08-01 10:25:00,NA,"None","None",NA
2013-08-01 19:02:00,NA,"None","None",NA
2013-08-02 09:23:00,NA,"None","None",NA
2013-08-02 19:37:00,NA,"None","None",NA
2013-08-03 09:33:00,NA,"Bleach","None",NA
2013-08-03 19:19:00,NA,"Critical care or Recovery food","None",NA
2013-08-04 10:01:00,NA,"None","None",NA
2013-08-04 19:27:00,NA,"None","None",NA
2013-08-05 08:39:00,NA,"None","None",NA
2013-08-05 20:09:00,NA,"None","None",NA
2013-08-06 09:21:00,NA,"None","None",NA
2013-08-06 20:26:00,NA,"None","None",NA
2013-08-07 12:01:00,NA,"no T port ","None",NA
2013-08-07 20:38:00,NA,"Critical care or Recovery food","None",NA
2013-08-08 12:26:00,NA,"Catheter tape, T port is out","None",NA
2013-08-08 22:02:00,NA,"Critical care or Recovery food, Bleach, Catheter tape, Vet wrap","None",NA
2013-08-09 11:58:00,NA,"Bleach, Catheter tape","None",NA
2013-08-09 21:24:00,NA,"Critical care or Recovery food","t-port",NA
2013-08-10 11:46:00,NA,"Canned food","None",NA
2013-08-10 19:50:00,NA,"Critical care or Recovery food","Buprenex",NA
2013-08-11 10:53:00,NA,"Laundry Detergent, Bleach, Catheter tape","None",NA
2013-08-11 20:08:00,NA,"Bleach","None",NA
2013-08-12 09:11:00,NA,"Canned food, Bleach, Bandage scissors are missing again!!! :(","Cefazolin/Ampicillin",NA
2013-08-12 20:00:00,NA,"Canned food, Bleach, Might be on last box of detergent","None",NA
2013-08-13 09:31:00,NA,"Critical care or Recovery food, Iodine","None",NA
2013-08-13 20:20:00,NA,"Canned food, Critical care or Recovery food, Laundry Detergent","None",NA
2013-08-14 21:19:00,NA,"None","None",NA
2013-08-15 10:24:00,NA,"Critical care or Recovery food, Iodine","None",NA
2013-08-15 20:24:00,NA,"Critical care or Recovery food, Laundry Detergent","Anzemet",NA
2013-08-16 09:41:00,NA,"Canned food, Catheter tape","CATHETER TAPE",NA
2013-08-16 21:01:00,NA,"Canned food, Critical care or Recovery food, Catheter tape","Flea preventative",NA
2013-08-17 11:40:00,NA,"Canned food, Catheter tape","Anzemet, Flea preventative",NA
2013-08-17 20:15:00,NA,"None","None",NA
2013-08-18 10:23:00,NA,"Baby Food, Critical care or Recovery food, 3cc Syringes, None","None",NA
2013-08-18 20:02:00,NA,"None","None",NA
2013-08-19 10:05:00,NA,"3cc Syringes, 60cc syringes","Anzemet",NA
2013-08-19 20:07:00,NA,"Critical care or Recovery food, Paper Towels, Bleach, 3cc Syringes","None",NA
2013-08-20 10:45:00,NA,"Critical care or Recovery food, Laundry Detergent, Bleach, 3cc Syringes, 60 cc syringes ","None",NA
2013-08-20 21:03:00,NA,"Laundry Detergent, Bleach, Parvo tests, only 1 left","None",NA
2013-08-21 10:22:00,NA,"Turkey, Canned food, Laundry Detergent, Bleach","Buprenex",NA
2013-08-21 19:47:00,NA,"Turkey, Baby Food, Critical care or Recovery food, Paper Towels, Catheter tape","None",NA
2013-08-22 09:29:00,NA,"Baby Food, Critical care or Recovery food, chicken sticks ","None",NA
2013-08-22 20:51:00,NA,"None","Buprenex",NA
2013-08-23 10:16:00,NA,"Turkey, Canned food, Baby Food, Critical care or Recovery food, chicken sticks ","None",NA
2013-08-23 20:23:00,NA,"None","Anzemet",NA
2013-08-24 10:32:00,NA,"Baby Food, Paper Towels, Bleach","Zantac, Famotidine",NA
2013-08-24 20:33:00,NA,"Turkey, Baby Food, Paper Towels, Bleach, Iodine, vienna sausages/chicken sticks","Anzemet, Cerenia-on last bottle",NA
2013-08-25 09:35:00,NA,"Turkey, Bleach, Iodine","Anzemet",NA
2013-08-25 20:35:00,NA,"None","None",NA
2013-08-26 10:47:00,NA,"Dry I/D or E/N, Critical care or Recovery food, Bordatella vaccines","Dextrose, Buprenex, Anzemet, Metronidazole liquid",NA
2013-08-26 20:31:00,NA,"Turkey, Laundry Detergent","None",NA
2013-08-27 11:03:00,NA,"10cc Syringes","Baytril",NA
2013-08-27 20:54:00,NA,"None","None",NA
2013-08-28 19:55:00,NA,"None","None",NA
2013-08-29 09:49:00,NA,"Critical care or Recovery food","None",NA
2013-08-29 11:25:00,NA,"Critical care or Recovery food","None",NA
2013-08-29 20:48:00,NA,"None","None",NA
2013-08-30 12:44:00,NA,"None","None",NA
2013-08-30 19:50:00,NA,"None","None",NA
2013-08-31 19:42:00,NA,"None","None",NA
2013-09-01 08:57:00,NA,"None","None",NA
2013-09-01 21:52:00,NA,"None","None",NA
2013-09-02 20:08:00,NA,"Laundry Detergent, 1cc Syringes","Hetastarch, Metronidazole liquid",NA
2013-09-03 10:18:00,NA,"Laundry Detergent","None",NA
2013-09-03 20:42:00,NA,"Laundry Detergent, 1cc Syringes","None",NA
2013-09-05 09:31:00,NA,"Critical care or Recovery food","Baytril",NA
2013-09-07 09:15:00,NA,"Laundry Detergent","Odansetron tabs",NA
2013-09-07 20:17:00,NA,"None","None",NA
2013-09-10 09:14:00,NA,"None","None",NA
2013-09-12 20:10:00,NA,"None","None",NA
2013-09-13 19:26:00,NA,"Critical care or Recovery food","IV Lines (with port + screw)",NA
2013-09-14 19:34:00,NA,"None","Metronidazole liquid",NA
2013-09-15 08:46:00,NA,"None","Metronidazole liquid",NA
2013-09-15 19:40:00,NA,"None","Cefazolin/Ampicillin, Metronidazole liquid, Vaccines",NA
2013-09-16 10:53:00,NA,"None","Metronidazole liquid",NA
2013-09-16 20:58:00,NA,"Human water bottles","Metronidazole liquid",NA
2013-09-17 10:30:00,NA,"None","None",NA
2013-09-18 19:33:00,NA,"Critical care or Recovery food","None",NA
2013-09-19 10:14:00,NA,"Baby Food, Critical care or Recovery food","None",NA
2013-09-19 20:28:00,NA,"Baby Food, people water bottles","None",NA
2013-09-20 11:06:00,NA,"Baby Food, Critical care or Recovery food","Baytril, LRS, IV Lines (with port + screw)",NA
2013-09-20 20:01:00,NA,"Critical care or Recovery food","None",NA
2013-09-21 10:22:00,NA,"Baby Food","None",NA
2013-09-21 20:13:00,NA,"Critical care or Recovery food, none","None",NA
2013-09-22 20:08:00,NA,"Human Water Bottles","Doxycycline tabs, Metronidazole liquid",NA
2013-09-23 10:06:00,NA,"Baby Food, 24G catheters, Catheter tape","LRS",NA
2013-09-23 21:13:00,NA,"None","None",NA
2013-09-24 10:25:00,NA,"none ","None",NA
2013-09-24 20:33:00,NA,"None?","None",NA
2013-09-26 19:25:00,NA,"None","None",NA
2013-09-27 19:11:00,NA,"Baby Food, Critical care or Recovery food, chicken sticks ","None",NA
2013-09-28 09:05:00,NA,"None","None",NA
2013-09-28 19:53:00,NA,"Baby Food, None","None",NA
2013-09-29 09:06:00,NA,"Dry I/D or E/N, Paper Towels","None",NA
2013-10-01 20:17:00,NA,"Paper Towels","None",NA
2013-10-03 19:33:00,NA,"None","None",NA
2013-10-04 09:31:00,NA,"Turkey","Famotidine",NA
2013-10-04 20:16:00,NA,"None","Famotidine",NA
2013-10-05 10:01:00,NA,"Dry I/D or E/N, Baby Food","None",NA
2013-10-05 20:39:00,NA,"None","None",NA
2013-10-06 08:40:00,NA,"Paper Towels","None",NA
2013-10-06 19:33:00,NA,"None","Reglan",NA
2013-10-07 19:55:00,NA,"Paper Towels","None",NA
2013-10-08 09:29:00,NA,"Turkey, Baby Food, Paper Towels, Gloves - medium","None",NA
2013-10-08 20:01:00,NA,"None","None",NA
2013-10-09 09:44:00,NA,"None","Marquis Paste",NA
2013-10-09 20:21:00,NA,"Critical care or Recovery food, Clipper battery?","Reglan, Famotidine",NA
2013-10-10 09:24:00,NA,"None","Pediacare",NA
2013-10-10 20:01:00,NA,"None","None",NA
2013-10-11 19:22:00,NA,"Critical care or Recovery food","Metronidazole liquid",NA
2013-10-17 20:20:00,NA,"None","Famotidine",NA
2013-10-18 10:31:00,NA,"None","Reglan, Dextrose",NA
2013-10-18 21:19:00,NA,"None","Reglan",NA
2013-10-19 10:31:00,NA,"chicken sticks ","Reglan",NA
2013-10-20 10:14:00,NA,"Baby Food, something bland would be nice for dogs who are interested in food but gag at the strong smells","Zantac, Famotidine",NA
2013-10-20 20:54:00,NA,"Gloves - small","Baytril, Reglan, Cefazolin/Ampicillin",NA
2013-10-22 22:34:00,NA,"Baby Food, Paper Towels","LRS",NA
2013-10-24 22:47:00,NA,"Baby Food, Critical care or Recovery food, Paper Towels, Toilet Paper, Bleach, 10cc Syringes","LRS, IV Lines (with port + screw), Zantac, Famotidine, KCL",NA
2013-10-25 11:53:00,NA,"Baby Food, Critical care or Recovery food, Paper Towels","LRS, IV Lines (with port + screw), Cefazolin/Ampicillin, Zantac, Famotidine, KCL",NA
2013-10-25 23:17:00,NA,"Turkey, Canned food, Dry I/D or E/N, Baby Food","IV Lines (with port + screw), Hetastarch, Dextrose, Zantac, Famotidine",NA
2013-10-26 13:47:00,NA,"Baby Food, Vet wrap, chicken sticks ","Baytril, IV Lines (with port + screw), Cefazolin/Ampicillin, Zantac, Famotidine, Ondansetron  (*baytril and cef will run out shortly given the rate of use*)",NA
2013-10-26 22:41:00,NA,"Baby Food, 10cc Syringes","Cefazolin/Ampicillin, Hetastarch, Zantac, Famotidine",NA
2013-10-27 13:11:00,NA,"10cc Syringes","Cefazolin/Ampicillin, Ondansetron",NA
2013-10-27 20:03:00,NA,"10cc Syringes","Baytril, LRS, Cefazolin/Ampicillin",NA
2013-10-28 19:58:00,NA,"Laundry Detergent, 22G catheters, 20G catheters, None","Reglan, IV Lines (with port + screw), Hetastarch",NA
2013-10-29 11:08:00,NA,"None","KCL",NA
2013-10-29 20:38:00,NA,"Laundry Detergent, Bitter Apple Spray","Zantac, Famotidine, Anzemet, Heparin, KCL, Ondansetron",NA
2013-10-30 21:11:00,NA,"Dry I/D or E/N, 10cc Syringes, 60mL syringes","LRS, Cefazolin/Ampicillin, Zantac, Anzemet, Ondansetron, Marquis paste",NA
2013-10-31 20:14:00,NA,"60cc syringes","Panacur (general dewormer), Marquis Paste, bordatella vaccines, ondonsetron",NA
2013-11-01 21:04:00,NA,"Turkey","Zantac, Doxycycline tabs",NA
2013-11-02 12:37:00,NA,"Turkey, chicken sticks ","Zantac, Famotidine",NA
2013-11-02 20:15:00,NA,"Turkey, Dry I/D or E/N, Critical care or Recovery food, vienna sausages or chicken sticks?","Zantac, Famotidine",NA
2013-11-03 09:58:00,NA,"no new needs","no new needs",NA
2013-11-03 21:01:00,NA,"Turkey, chicken sticks ","None",NA
2013-11-04 12:07:00,NA,"chicken sticks","None",NA
2013-11-04 22:10:00,NA,"Dry Food!!!","Famotidine, Doxycycline liquid, Metronidazole tabs, Getting very low on both Doxy and Metro",NA
2013-11-05 10:34:00,NA,"Turkey, Dry I/D or E/N, Chicken Sticks, Turkey Sticks","None",NA
2013-11-05 21:41:00,NA,"chicken sticks ","Metronidazole tabs",NA
2013-11-06 10:27:00,NA,"None","None",NA
2013-11-06 20:10:00,NA,"None","Metronidazole tabs, None",NA
2013-11-07 09:44:00,NA,"None","Metronidazole tabs",NA
2013-11-07 22:49:00,NA,"None","None",NA
2013-11-08 12:11:00,NA,"None","Doxycycline tabs",NA
2013-11-08 21:36:00,NA,"None","None",NA
2013-11-09 13:09:00,NA,"None","Doxycycline tabs, We're still waiting on the Metro from the clinic",NA
2013-11-09 20:58:00,NA,"None","None",NA
2013-11-10 11:34:00,NA,"None","Dyphenhydramine (sp)",NA
2013-11-10 20:42:00,NA,"None","None",NA
2013-11-11 12:16:00,NA,"None","None",NA
2013-11-11 21:03:00,NA,"None","morphine for vet box",NA
2013-11-12 10:50:00,NA,"None","None",NA
2013-11-12 21:37:00,NA,"None","ondansetron",NA
2013-11-13 12:17:00,NA,"None","None",NA
2013-11-13 21:12:00,NA,"Critical care or Recovery food","Ondansetron",NA
2013-11-14 10:50:00,NA,"None","None",NA
2013-11-14 20:03:00,NA,"None","None",NA
2013-11-15 10:46:00,NA,"Dry dog food","Doxycycline tabs",NA
2013-11-15 20:03:00,NA,"Dry I/D or E/N, Dry Dog F, Human Water Bottles","Doxycycline tabs, None",NA
2013-11-16 10:08:00,NA,"Dry I/D or E/N, Dry Dog F","None",NA
2013-11-17 09:50:00,NA,"None","None",NA
2013-11-17 20:12:00,NA,"None","None",NA
2013-11-18 09:28:00,NA,"None","None",NA
2013-11-18 20:22:00,NA,"None","None",NA
2013-11-19 09:49:00,NA,"chicken sticks, human water bottles","None",NA
2013-11-19 19:02:00,NA,"None","None",NA
2013-11-20 09:17:00,NA,"None","None",NA
2013-11-20 21:08:00,NA,"hand soap","None",NA
2013-11-21 09:31:00,NA,"None","None",NA
2013-11-21 19:50:00,NA,"None","None",NA
2013-11-22 10:25:00,NA,"3cc Syringes","None",NA
2013-11-23 09:00:00,NA,"Turkey","None",NA
2013-11-23 20:35:00,NA,"Turkey, 3cc Syringes","DAPP and Bordetella vaccines",NA
2013-11-24 10:33:00,NA,"3cc Syringes","IV Lines (with port + screw), DAPP and Bordetella vaccines",NA
2013-11-24 21:17:00,NA,"Turkey, 3cc Syringes","None",NA
2013-11-25 10:27:00,NA,"None","None",NA
2013-11-25 21:51:00,NA,"Turkey, 3cc Syringes","Vaccines",NA
2013-11-26 12:09:00,NA,"None","Baytril, IV Lines (with port + screw)",NA
2013-11-26 20:31:00,NA,"Turkey, 3cc Syringes","Baytril, Reglan",NA
2013-11-27 12:37:00,NA,"Turkey","Famotidine, ondansetron..",NA
2013-11-28 00:01:00,NA,"Turkey, 3cc Syringes, 18 G Needles","IV Lines (with port + screw), Famotidine, Ondansetron",NA
2013-11-28 10:53:00,NA,"Turkey, 3cc Syringes, 18 G Needles","Famotidine, ondansetron",NA
2013-11-28 20:51:00,NA,"Dry I/D or E/N, 22G catheters, 18 G Needles","None",NA
2013-11-29 11:50:00,NA,"18 G Needles, need pens","Polyflex",NA
2013-11-29 19:55:00,NA,"Canned food","None",NA
2013-11-30 09:55:00,NA,"Canned food","None",NA
2013-11-30 20:58:00,NA,"Dry I/D or E/N, Fly Swatter, Lube","None",NA
2013-12-01 10:34:00,NA,"None","Baytril, None",NA
2013-12-01 20:49:00,NA,"None","None",NA
2013-12-02 09:07:00,NA,"None","None",NA
2013-12-02 20:22:00,NA,"Turkey, Dry Dog F, hand soap; fly strips","None",NA
2013-12-03 10:15:00,NA,"Turkey, Dry Dog F, hand soap, AA battery for the wall clock","None",NA
2013-12-03 21:14:00,NA,"None","None",NA
2013-12-04 09:33:00,NA,"None","None",NA
2013-12-04 21:07:00,NA,"Baby Food, Toilet Paper","None",NA
2013-12-05 09:36:00,NA,"Toilet Paper","None",NA
2013-12-05 20:01:00,NA,"Turkey, Baby Food, Toilet Paper","None",NA
2013-12-06 11:42:00,NA,"Toilet Paper","Metronidazole liquid",NA
2013-12-06 19:46:00,NA,"None","None",NA
2013-12-07 10:09:00,NA,"Toilet Paper","Metronidazole liquid",NA
2013-12-07 20:13:00,NA,"Turkey, Toilet Paper","Anzemet",NA
2013-12-08 08:40:00,NA,"None","None",NA
2013-12-08 19:42:00,NA,"Turkey","None",NA
2013-12-09 19:32:00,NA,"None","Ondansetron(very little left in last bottle)",NA
2013-12-10 10:13:00,NA,"Laundry Detergent","None",NA
2013-12-12 19:53:00,NA,"None","None",NA
2013-12-13 08:43:00,NA,"Baby Food","None",NA
2013-12-13 19:56:00,NA,"Turkey","None",NA
2013-12-14 09:45:00,NA,"None","Doxycycline tabs",NA
2013-12-14 19:43:00,NA,"Turkey, Baby Food","None",NA
2013-12-15 09:05:00,NA,"None","None",NA
2013-12-15 19:50:00,NA,"None","None",NA
2013-12-16 09:34:00,NA,"None","None",NA
2013-12-16 19:51:00,NA,"None","None",NA
2013-12-17 10:23:00,NA,"Metro suspension ","None",NA
2013-12-17 19:39:00,NA,"Paper Towels, hand soap","Metronidazole liquid",NA
2013-12-18 10:03:00,NA,"None","None",NA
2013-12-18 19:31:00,NA,"None","Metronidazole liquid",NA
2013-12-19 09:48:00,NA,"None","None",NA
2013-12-19 19:57:00,NA,"Baby Food","None",NA
2013-12-20 08:55:00,NA,"Baby Food","None",NA
2013-12-20 20:48:00,NA,"None","None",NA
2013-12-21 09:11:00,NA,"None","None",NA
2013-12-21 19:49:00,NA,"None","None",NA
2013-12-22 08:42:00,NA,"Baby Food","None",NA
2013-12-22 19:50:00,NA,"None","None",NA
2013-12-23 09:38:00,NA,"None","None",NA
2013-12-23 20:34:00,NA,"None","None",NA
2013-12-24 08:32:00,NA,"Baby Food","None",NA
2013-12-24 20:13:00,NA,"None","None",NA
2013-12-25 19:28:00,NA,"None","None",NA
2013-12-26 08:34:00,NA,"Baby Food, None","None",NA
2013-12-26 20:42:00,NA,"Bleach, Dish soap","None",NA
2013-12-27 08:49:00,NA,"None","None",NA
2013-12-27 19:02:00,NA,"Gloves - small","None",NA
2013-12-28 10:22:00,NA,"Baby Food","None",NA
2013-12-30 20:21:00,NA,"None","Doxycycline tabs, Bordatella Vaccines, DAPP Vaccines, Ondansetron",NA
2013-12-31 10:01:00,NA,"None","Bordatella Vaccines, DAPP Vaccines",NA
2013-12-31 19:06:00,NA,"None","Bordatella Vaccines, DAPP Vaccines",NA
2014-01-01 08:41:00,NA,"None","na",NA
2014-01-01 19:33:00,NA,"Turkey","None",NA
2014-01-02 08:59:00,NA,"Baby Food","none",NA
2014-01-02 19:43:00,NA,"Baby Food","none",NA
2014-01-03 12:09:00,NA,"cotton balls","Bordatella Vaccines, DAPP Vaccines",NA
2014-01-03 21:18:00,NA,"Baby Food","Anzemet",NA
2014-01-04 09:34:00,NA,"None",".",NA
2014-01-04 20:32:00,NA,"22G Needles, 60cc syringes, new sharps container","none",NA
2014-01-05 12:59:00,NA,"None","Whoops, idk where the none option went!",NA
2014-01-05 21:39:00,NA,"None","none",NA
