"Timestamp","Vol2","Dsc.Detail","Questions","Additional","Catheters"
2013-06-17 22:04:00,NA,NA,NA,"Please don't forget to tape a loop into the line or tape down the line somehow, Finnigan's catheter was blown because it was pulled all sideways. We moved the pump more toward the middle of the run so he'll have more space after replaced the catheter. 

Dr. K has the same first and last initials I do, so I'll start writing KEK so that we don't get mixed up. - Katie","Quizno- placed in RF, no T port. Started pump with all adds. 

Finnegan- Replaced in LF, no TPort. "
2013-06-18 10:42:00,NA,NA,NA,"Please make sure to leave the pump line open not closed when you finish treating a puppy. (One puppy's fluid was not going when we came in.)

Thanks!",NA
2013-06-18 20:22:00,NA,NA,NA,NA,NA
2013-06-19 12:05:00,NA,NA,NA,"BIG ROACHES!!!
Let's take garbage bags outside when you finish the shift or tie them at leaset.","Thomas Jefferson: LF. blood came well, flushed well when we placed it but not sure about it. Please monitor and switch it if it not working."
2013-06-19 21:41:00,NA,NA,NA,"Have a great night!!","Solo got a catheter w/ T-port, as did Orchid. "
2013-06-20 11:44:00,NA,NA,NA,"-","0"
2013-06-20 21:25:00,NA,NA,NA,NA,"Sanson (new intake) LF with a t-port"
2013-06-21 10:37:00,NA,NA,NA,NA,"Gemni: replaced cath 24g with T-port to RR limb."
2013-06-21 21:41:00,NA,"She was alive but on the brink when we came in for shift tonight. Dr. Johnson tried to do the best she could to help, but her poor body gave out about half way through the shift. Rest in peace, sweet girl. ",NA,NA,NA
2013-06-22 10:39:00,NA,NA,NA,"Hose for laundry came out and water was everywhere.  we are cleaning it up best we can but kitty litter is all over.","none"
2013-06-22 22:36:00,NA,NA,NA,"washing machine moves a LOT when running, make sure to check that the hoses are still properly attached before reloading!","Milkbone - FR with t-port
Temperence - FR with t-port
Lorenzo - FL with t-port; splinted so it stays in place
Seeley - FL, with t-port; problematic due to him being very active
Gemini - jugular, with t-port"
2013-06-23 12:11:00,NA,NA,NA,"We think we do not have to have mid shift volunteer today, (talked with Yatzel and Peggy H), so thank you for your offer!

Big roaches are still around, let's try to keep the ward clean. 

",NA
2013-06-23 22:39:00,NA,NA,NA,"THANK YOU DR. K FOR COMING IN FOR THAT JUGULAR CATHETER!! sorry for keeping you from your run... we know how much you wanted to go on that.. ","Temperance, replaced in LF with T port
removed clotted t port from Seely's catheter, it's flowing without it fine. He probably doesn't need the catheter anyway, he's nuts :)"
2013-06-24 11:07:00,NA,NA,NA,"Please be sure not to leave syringes/needles/both in cages with puppies after treating them. ",NA
2013-06-24 22:14:00,NA,"passed between shifts",NA,"Since we are out of Famotidine, we can use the limited amount of Zantac we have; use the dosage chart on the counter.

We do not need doxy tabs at the moment, they were just jumbled in with the metro tabs.

MANY THANKS to Dr K for staying late to write up treatments and treat Lorenzo!!","Lola: RF, with t-port"
2013-06-26 00:20:00,NA,NA,NA,"Very low on KCL, esp. after 3 new intakes on pumps.
Got lots of vet wrap.
Lots of laundry done!","Ned- Catheter placed

Junior- Catheter placed"
2013-06-26 14:08:00,NA,NA,NA,NA,"1) Deweena dog : jugular
2)Apollo : RF"
2013-06-26 21:35:00,NA,NA,NA,NA,"Attempted on Tucker butthe catheter kept kinking once it was in. After we tried, he ate all of his food..."
2013-06-27 13:28:00,NA,NA,NA,"One pump was beeping saying \"finish\" (still 200ml left).  We did not for sure how much of fluid was given because fluid chart was not written. To know the given volume (Dr, Jefferson asks sometimes and I think it is important), please write number of actual volume (ml) in a bag. (not 9999(you can set pump 9999 but please write on the chart an actual volume)  or not like 3.5 ). 

I did not set the medical time because we are still working on it.

Thanks


","1) New : Bran (RF)
2)Lola  (LF)"
2013-06-28 15:18:00,NA,"Ned passed away overnight :(
Darby was not doing well at all today, breathing was shallow and heart rate was very low put on burprenex for pain and was still agitated.  Dr. Johnson came back to help her pass over the rainbow bridge.  Sorry sweet girl :(",NA,NA,"Junior,  Jamie, Arya"
2013-06-29 00:20:00,NA,NA,NA,"We're going through supplies really fast, especially syringes. we'll probably run out of 1cc syringes Sunday if we don't get a box tomorrow. We have 11 critical or intermediate dogs, and they all have lots of meds. 

Please watch Lobo very closely, he's small and sick. ","Zues- 30 g in LF, no T port, capped because no pump. "
2013-06-29 12:19:00,NA,NA,NA,NA,NA
2013-06-29 21:00:00,NA,NA,NA,"The washing machine is rocking all over the place, and this is why it keeps coming disconnected, just as a note from Peggy.

BIG thanks to everyone who showed up for the shift, it made life much easier, and the dogs got a very large amount of love this evening! :)","Junior's catheter was replaced, right rear leg, no T-port

Tried to place one on Vienna, no success."
2013-06-30 20:34:00,NA,NA,NA,NA,"Juniors catheter was pulled"
2013-07-01 09:55:00,NA,NA,NA,"Medicine was found out of the fridge....cefazoline and famotidine. Please double check before leaving parvo. We had to discard cefazoline. ","-"
2013-07-01 21:14:00,NA,"Arya-RIP sweetie.....She passed in my arms.  All of us, including Dr. K, worked hard to save her. She was extremely cold and semi-comatose when we came in tonight.",NA,"Brought One-size-fits-most gloves.

Everyone is pretty healthy and VOCAL!!!!

",NA
2013-07-02 10:06:00,NA,NA,NA,NA,NA
2013-07-02 21:16:00,NA,NA,NA,"If you draw something up and don't use it, throw it away. Don't just leave it out unlabeled. :)",NA
2013-07-03 09:31:00,NA,NA,NA,NA,NA
2013-07-03 20:26:00,NA,NA,NA,NA,NA
2013-07-04 09:27:00,NA,NA,NA,"Use Caution with Prada! :)","Prada- Right, front leg"
2013-07-04 20:03:00,NA,NA,NA,"not completely out of 18g but will need some in the future

dryer was not hot for a period of time. may need to keep an eye on it(?)",NA
2013-07-05 11:02:00,NA,NA,NA,NA,NA
2013-07-05 20:38:00,NA,NA,NA,NA,"Olenna: LF with same t-port."
2013-07-06 10:55:00,NA,NA,NA,"We just took out the last package of turkey from the freezer.

Have a great weekend :)","Kipling and Prada"
2013-07-06 20:38:00,NA,NA,NA,"There is an unlabeled 3mL syringe in the fridge, looks like maybe cefazolin. Anyone know what it is?

There is some recovery food made up with honey for Vienna in the fridge.",NA
2013-07-07 10:21:00,NA,NA,NA,"Famotidine left out again.

Laundry looks great!  None to do!","Kipling- needs to have his replaced. Tried several times- no luck."
2013-07-07 21:05:00,NA,NA,NA,"Sorry if you get two reports! I went to try to reply to the report we (thought we) sent to add that Cersei had vomited and I didn't find it to reply to, so I wrote another one. Maybe I should have waited longer, but I usually get it as I'm changing, so here's take two. ","Cersei- Placed catheter in left rear leg, no T-port. "
2013-07-08 09:25:00,NA,NA,NA,NA,"Removed Olenna's"
2013-07-08 20:54:00,NA,NA,NA,NA,"N/A"
2013-07-09 10:05:00,NA,NA,NA,NA,"none"
2013-07-09 20:18:00,NA,NA,NA,NA,NA
2013-07-10 11:56:00,NA,NA,NA,NA,"Kasper - catheter placed (left front)"
2013-07-10 21:58:00,NA,NA,NA,NA,NA
2013-07-11 11:31:00,NA,NA,NA,"Right now we have enough food, but since we have 17 dogs...11 eating very well and 5 eating some we will go out of food very fast. We have 2 chicken sticks cans, 11 pedigree, 1 EN, and a lot of baby food. We don't have any drinking water. 
","Kousin- replaced to right front leg. "
2013-07-12 10:54:00,NA,NA,NA,NA,NA
2013-07-13 00:25:00,NA,NA,NA,NA,"Wonka- placed LF, catheter capped, no T-port

Charli- placed LF, catheter capped, no T-port"
2013-07-13 12:25:00,NA,NA,NA,NA,"Kassem - replaced catheter, with t-port."
2013-07-13 21:46:00,NA,NA,NA,"We're keeping up with the laundry pretty well - please make sure to wipe off any feces/vomit from blankets before putting them in the basket!

We'll probably be needing more bleach soon, but are okay for now. We're down to the last couple mLs of Panacur.",NA
2013-07-14 12:53:00,NA,NA,NA,NA,"Wonka- placed LF, catheter capped, no T-port

Charli- placed LF, catheter capped, no T-port"
2013-07-14 13:22:00,NA,NA,NA,NA,NA
2013-07-14 21:53:00,NA,NA,NA,"Thank you Emily, Dr. K, and Gina for the help. ","Kasper replaced catheter"
2013-07-16 12:35:00,NA,"euthanized, was in a lot of pain and had agonizing breaths. RIP =(  ",NA,NA,NA
2013-07-16 22:25:00,NA,NA,NA,"We (Gayla) cleaned the run in the back room, but the one in the middle is still dirty. ",NA
2013-07-17 22:31:00,NA,NA,NA,NA,"None"
2013-07-18 21:29:00,NA,NA,NA,"We could not find the Simplicef anywhere for the dogs in back.",NA
2013-07-19 22:17:00,NA,NA,NA,NA,"Safara attempted to place back leg catheter, veins were not good, positioned front leg catheter with wrap but it is very positional, please monitor it closely. "
2013-07-20 10:13:00,NA,NA,NA,NA,NA
2013-07-20 21:53:00,NA,NA,NA,"stayed a bit later to fold laundry and hang out with Shadow (he has a pretty smile)

Lots of food left out . Tuna can chillin by the towel rack- that aint right ... We may be able to conserve food if we dont open several of the same  cans of dog food at a time . 

Thanks to whom ever brought the chicken and rice ! the dogs love it .

Laundry looking cray but 2 loads were done , started 3rd load. ","N/A"
2013-07-21 10:31:00,NA,NA,NA,"On the last gallon of bleach.  We'll be in need of it very soon.  ",NA
2013-07-21 20:44:00,NA,NA,NA,NA,NA
2013-07-22 10:45:00,NA,NA,NA,"Dryer is working again!

Let's PLEASE PLEASE PLEASE keep a close eye on Big Bop and Betty. I'm worried about them. Super tiny. 

Cheers!

---Yatzel and Kumiko!","Placed: Betty Sue and Big Bopper

Replaced: Elvis"
2013-07-22 21:54:00,NA,NA,NA,"Please remember to cover any bags with reglan in them! It's light sensitive. ","Barbara Ann- LF, with T-Port"
2013-07-23 11:33:00,NA,NA,NA,"* Washer is leaking like crazy, and its starting to walk on its own....
",NA
2013-07-23 23:00:00,NA,NA,NA,"We would have been done around 9 if we hadn't stayed to work on Betty Sue, that's why the shift was so long. Thanks for staying late with us Dr. K, and then staying later to finish blood and plasma transfusions!","Lucia- new intake, see above in critical."
2013-07-24 12:30:00,NA,"Both were fond deceased when we came in. So sorry :( :(",NA,NA,"1) Mary Ann : left rear
2) Lucia: left front
"
2013-07-24 22:03:00,NA,"worked with her for 3 hours, she had cuddles the whole time. Thank you Marisa. ",NA,NA,NA
2013-07-25 11:49:00,NA,NA,NA,"Cleaning Syringes - If a syringe has blood on it, please toss it!!!! Do not reuse it for oral medications. Also, if a syringe has food, strongid, or anything sticky and difficult to clean, just go ahead and toss it. ","Lucia- replaced in right back leg."
2013-07-25 20:24:00,NA,NA,NA,"Everyone like the facebook page if you haven't!

https://www.facebook.com/ParvoPuppyIcu",NA
2013-07-26 10:21:00,NA,NA,NA,"3 new puppies are coming soon.",NA
2013-07-26 20:45:00,NA,NA,NA,"We ran out of people water bottles. Pretty easy shift, but those three new ones should be watched, because they could go downhill. Have a good night!","Bella- LF placed, no T-port

Larble- RF placed, no T-port

Anna- RF placed, no T-port"
2013-07-27 10:29:00,NA,NA,NA,"Parvo shift was a breeze.  Everyone have a great weekend!!!",NA
2013-07-27 21:42:00,NA,NA,NA,"Many thanks to Eddie for coming back in to help us replace catheters!","Bella - replaced to RF, no t-port
Larble & Anna - replaced to LF, no t-port"
2013-07-28 09:49:00,NA,NA,NA,"Laundry is all caught up!",NA
2013-07-28 20:32:00,NA,NA,NA,"We added the Dr. On Call field to this form to make sure people are aware of the specific doctor they're supposed to call. When you fill it out, remember it's the doctor on call for tomorrow.",NA
2013-07-29 11:51:00,NA,NA,NA,"Laundry all done.  I took advantage of it and washed the scubs hanging outside.

Plea- please avoid using rugs and large pillows.  Hard on our washing machine...

All crates in back washed, put outside clinic break room.

Being anal as I am about having a place for everything and everything in it's place- ( I know, I have a problem...)   I organized the scrubs in the changing room. Please try to keep it organized..","Larble - replaced in back right leg

Anna - replaced to hind left leg."
2013-07-29 20:33:00,NA,NA,NA,NA,NA
2013-07-30 10:05:00,NA,"when we got here she already had passed. RIP baby girl =( ",NA,"Laundry = awesome! No piles!!! <3 ","1) Larble - replaced catheter left hind leg "
2013-07-30 20:29:00,NA,NA,NA,"Load of laundry clean in washing machine, will need to be dried in morning.

Thank you for organizing the scrubs! They look amazing!",NA
2013-07-31 11:28:00,NA,NA,NA,"cbs is coming to do a segment on parvo so keep an eye out for it.  Not sure when it is airing.  We tried to clean as much as possible.  We need to clean the air filter to the a/c more often so we don't burn out the motor.  The PR manager of APA is going to focus on fund raising for parvo the month of August to raise awareness for what we do so YAY!!  Maybe try to keep the unit looking good just in case someone else wants to stop by and film a segment.
I think that is all for now.","New : Gordo :right front
         Larble : right rear"
2013-07-31 19:40:00,NA,NA,NA,"Someone left a box of Blue canned food
No laundry",NA
2013-08-01 10:25:00,NA,NA,NA,NA,NA
2013-08-01 19:02:00,NA,NA,NA,"Quick shift! We should, according to previous data, be entering the \"lull\" months. Here's a visualization of last year: http://kevinhorecka.com/parvo/test5.htm

Don't share it outside of volunteers and staff please.",NA
2013-08-02 09:23:00,NA,NA,NA,"very easy shift.  we just hung out with the pups this am. :)",NA
2013-08-02 19:37:00,NA,NA,NA,"Put one load of laundry in, but that was all there was!","Catheter replaced on Gordo to right hind leg with a t-port"
2013-08-03 09:33:00,NA,NA,NA,NA,NA
2013-08-03 19:19:00,NA,NA,NA,"Bleach mopped the floors and Larble's old run. He has been moved to the 1st bathroom along with his neb equipment. ",NA
2013-08-04 10:01:00,NA,NA,NA,"I cleaned the top of the fridge, bagged up the tree and decorations and stored them.  Pulled the fridge away from the wall and cleaned back there (gross).  Peggy cleaned crates in back room and waiting on a full load to finish laundry.
Very easy shift.  Have a good day.",NA
2013-08-04 19:27:00,NA,NA,NA,"Super easy! I'm just gonna clean Larble's cage and call it a night. ",NA
2013-08-05 08:39:00,NA,NA,NA,NA,NA
2013-08-05 20:09:00,NA,NA,NA,NA,"Belladonna had a catheter placed with T port upon intake. "
2013-08-06 09:21:00,NA,NA,NA,NA,NA
2013-08-06 20:26:00,NA,NA,NA,NA,"Jessie- replaced"
2013-08-07 12:01:00,NA,NA,NA,NA,"1) Kim (new) Right front w/ T port"
2013-08-07 20:38:00,NA,NA,NA,"Dr. J FF Jessie and Jill midday and there was no V in cage when we got here, so at least they're holding it down.

*Oh yeah.  What happened to all the thermometers?",NA
2013-08-08 12:26:00,NA,NA,NA,NA,"Jessie left rear paw
Jill left front  paw

"
2013-08-08 22:02:00,NA,"Came in and she had passed. Said a prayer for her :(",NA,"DR J ROCKS - helped her with catheters learned a lot of valuable info on veins !! 
Thanks Nipuni for coming in to help it was MUCH appreciated !!!","Jesse- LF
Belladonna - Jugular cath."
2013-08-09 11:58:00,NA,NA,NA,NA,"Jesse has jugular"
2013-08-09 21:24:00,NA,NA,NA,"Please don't cut the gauze off of Dr J's bandage scissors!

Thank you so much for coming in, Katie!","Dr. J tried 4 times on the back legs and jugular on Kim, all unsuccessful. Back leg veins are terrible for catheters, so not sure what to do. Seems like all her veins are blown."
2013-08-10 11:46:00,NA,NA,NA,"We lost a thermometer today, sorry! It kept reading 'err'.","Teddy, placed, not t-port"
2013-08-10 19:50:00,NA,NA,NA,"If anyone has time and is able to cook up some plain chicken for the pups, the 5 \"ferals\" seem to like that the best (they'll eat the turkey, but the real stuff is way better). There is a small dish of it in the fridge but it probably won't last long.",NA
2013-08-11 10:53:00,NA,NA,NA,"We found 3 bags of fluid that were hanging that were not capped off so the line was exposed.  Please make sure these are capped off.  Peggy and I were wondering if yellow sheets are needed if a pup is on a CRI, just like for the iv bag??  I also brought in some grilled chicken breast for the pups, its in the fridge.",NA
2013-08-11 20:08:00,NA,NA,NA,"Keep the chicken coming, it's the favorite!",NA
2013-08-12 09:11:00,NA,NA,NA,"Does anyone know where the bandage scissors have gone too?!

Also human water is low.",NA
2013-08-12 20:00:00,NA,NA,NA,"Easy shift. Everyone is asleep now after their big meals. 

Load of laundry in washer, will be ready for drying in morning. Everything else is dry, folded and put away.

Good night y'all.",NA
2013-08-13 09:31:00,NA,NA,NA,"Laundry done.  Just FYI - we have 3 bottles of Cefazolin left.No one is getting it,  so I didn't list it as needed.

Need human water and snacks :)","None"
2013-08-13 20:20:00,NA,NA,NA,"Down to 3 bottles of Cefazolin which Latifah is now on. ","Latifah, LF"
2013-08-14 21:19:00,NA,NA,NA,"If anyone has seen a black tourniquet, put it somewhere obvious! Dr. J said she brought one in and it disappeared.","Eric"
2013-08-15 10:24:00,NA,NA,NA,"Gunner (or maybe it was Avery) chewed up rubber toy in cage.  Hope they didn't swallow any of it.  Watch what toys they get...


I brought human water.",NA
2013-08-15 20:24:00,NA,NA,NA,NA,"Duke - RF limb"
2013-08-16 09:41:00,NA,NA,NA,"I brought in some detergent and bleach and there are 2 grilled chicken breasts in the fridge.  We also have raw chicken breast in the freezer that can be cooked in the microwave just in case.","Eric and Latifah"
2013-08-16 21:01:00,NA,NA,NA,NA,NA
2013-08-17 11:40:00,NA,"Eric didnt make it...his iv was not screwed in and came undone...PLEASE make sure iv is secure so it cant come undone.  He was SO dehydrated when we came in.  We tried to give fluids but IV was blown as well as being exposed.  We also tried to start new iv but failed.  His veins were so bad.  Dr. Johnson was rushing to come in to start a jugular but he passed just before she got here.  I defrosted his plasma before I knew his IV situation...Dr. Johnson said to refreeze it, I labeled it that it has been defrosted so we will use it first the next time.",NA,NA,NA
2013-08-17 20:15:00,NA,NA,NA,"Thanks Kumiko for coming in and helping me!","Latifah had catheter replaced to RL leg because front blew. No T-port. "
2013-08-18 10:23:00,NA,NA,NA,"Laundry stacked up, but Kumiko and I are tackling it down -_^ ",NA
2013-08-18 20:02:00,NA,NA,NA,"Please remember to place a towel between the metal cage and a heating pad so the whole cage doesn't get too hot! ","Leeloo- RF catheter placed, capped. "
2013-08-19 10:05:00,NA,NA,NA,"Something back here leaked again. It's not the washer. It looks like it may be coming from a pipe in a wall?? Possibly in the wall of the break room....We mopped up and it doesn't appear to be leaking anymore. Does the freezer in the break room have an auto defrost that is maybe flooding through the wall?

Leeloo's line was disconnected. Please make certain that if you detach a line you remember to screw it back in and make a security loop. :)

Thank you Peggy for the canned food, mop head and tape!!",NA
2013-08-19 20:07:00,NA,NA,NA,"Are we to keep T-ports?  We weren't sure if they're to be re-used.

We have one gal of bleach left, one box of 3cc syringes and one roll of paper towels left so I listed them as needed in inventory.

Dryer seems to be working. Unplugged it because didnt stop when opened the door.
I brought lots of chicken sticks, and there's volunteer snacks in fridge. :)","None"
2013-08-20 10:45:00,NA,NA,NA,NA,"1) KiKi - right back with a T port"
2013-08-20 21:03:00,NA,NA,NA,"Getting low on laundry detergent so listed it as a need.

Please read note above regarding which tape to use when wrapping cath lines.

THANK YOU Peggy for coming in to help, and Dr. J as always for your help!","Destiny- catheter fell out, Dr. J replaced.

NOTE: When wrapping catheter line please use the solid, sturdier tape not the silky tape."
2013-08-21 10:22:00,NA,NA,NA,NA,"Lexy left front"
2013-08-21 19:47:00,NA,NA,NA,"Thanks Emily R and Kumiko for coming in tonight! ",NA
2013-08-22 09:29:00,NA,NA,NA,"Please make sure to close the cages, Lexy's cage was wide open this morning when I walked in =/

Polyflex should be in the Fridge, found a reconstituted bottle in the cabinet... ",NA
2013-08-22 20:51:00,NA,NA,NA,"Reminders (based on things that were not ok when I got here):
-Reglan is photosensitive so bags with reglan in them need a sock around them
-Supplies should be put away after being pulled out
-No trash should be on the floor
-Counters should be clear and wiped down before you leave
-Dogs should never be left in a cage without blankets
-Pump wires should be securely hung, not precariously hung by the cord. 
-Pens should be emptied when a dog is not in them and marked dirty after a dog is transferred out. Not doing this and leaving the cage open can make it appear as if a dog has escaped (not cool).",NA
2013-08-23 10:16:00,NA,NA,NA,NA,"Lexy - LR leg"
2013-08-23 20:23:00,NA,NA,NA,NA,NA
2013-08-24 10:32:00,NA,NA,NA,NA,NA
2013-08-24 20:33:00,NA,NA,NA,NA,"Margo-Chase replaced (thank you Chase)"
2013-08-25 09:35:00,NA,NA,NA,"THANK YOU PEGGY for bringing dog food, baby food, paper towels, chicken sticks and iodine (the only bottle she could find was teeny so it's still on the list of stuff to get)",NA
2013-08-25 20:35:00,NA,NA,NA,NA,"none"
2013-08-26 10:47:00,NA,NA,NA,"Many items for inventory are what we are out of/extremely low on, but I imagine many of them we won't be able to get.

Lexy had two extensions on her line, but the very thin one doesn't work so well with hetastarch since it's so thick. A partial bag with same adds was piggy backed. It'll last at least til this evening. Her hetastarch bag is low, but as she is only on 3ml/hr it will last til at least this evening.

Margo also had a bag piggy backed. It was a brand new one. She was also nebulized. Perhaps DVM can check her possible pain.

Laundry is running, but not caught up. ","Margo- replaced to LH, no t-port.
Lexy- replaced to RF, no t-port."
2013-08-26 20:31:00,NA,NA,NA,"Many thanks to whoever brought in all the canned food, vienna sausages, baby food, and chicken sticks!!

There are a bunch of scrubs in the wash, sorry if there's nothing in your size up front!","Margo: back left"
2013-08-27 11:03:00,NA,NA,NA,NA,NA
2013-08-27 20:54:00,NA,NA,NA,NA,NA
2013-08-28 19:55:00,NA,NA,NA,"Wifi is still out on the laptop. ",NA
2013-08-29 09:49:00,NA,NA,NA,NA,"Margo has no catheter"
2013-08-29 11:25:00,NA,NA,NA,NA,"Margo has no catheter"
2013-08-29 20:48:00,NA,NA,NA,"Easy shift","Back left catheter attempted on pepper"
2013-08-30 12:44:00,NA,NA,NA,"Easy shift","Back left catheter attempted on pepper"
2013-08-30 19:50:00,NA,NA,NA,"Should we do something about this dryer situation? ",NA
2013-08-31 19:42:00,NA,NA,NA,"Internet not working. I tried to connect and it got stuck \"acquiring network address\" for 10 minutes. Someone who knows more about computers can play with it :)

The shift would have been about 1/2 hour if Vasilla hadn't needed IV Baytril :) Laundry is caught up. ",NA
2013-09-01 08:57:00,NA,NA,NA,"Didn't know doc on call. Took a guess. ",NA
2013-09-01 21:52:00,NA,NA,NA,NA,NA
2013-09-02 20:08:00,NA,NA,NA,NA,"Tucker - right front no t port"
2013-09-03 10:18:00,NA,NA,NA,"Please make sure to reset the volume of the pumps before you leave.
Still no internet.","oppenheimer. Right front leg"
2013-09-03 20:42:00,NA,NA,NA,"Internet still down. Please excuse any typos and if you get this twice it's being sent from my phone.","Brandy- RF"
2013-09-05 09:31:00,NA,NA,NA,NA,NA
2013-09-07 09:15:00,NA,NA,NA,NA,NA
2013-09-07 20:17:00,NA,NA,NA,"Thank you ladies for coming in and helping me out. And also thanks to Kumiko, we now have detergent! =) ",NA
2013-09-10 09:14:00,NA,NA,NA,"Parvo ICU is empty!... for the moment",NA
2013-09-12 20:10:00,NA,NA,NA,NA,"Haibao- right front, no t-port"
2013-09-13 19:26:00,NA,NA,NA,"Easy shift, have a wonderful weekend! ^_^",NA
2013-09-14 19:34:00,NA,NA,NA,NA,NA
2013-09-15 08:46:00,NA,NA,NA,"Couldn't get the computer to turn on
",NA
2013-09-15 19:40:00,NA,NA,NA,"There is one constituted vial and four unconstituted vials of Cefazolin left so not super low just getting there!
We are completely out of bordetella vaccines and are getting pretty low on DAPP. ",NA
2013-09-16 10:53:00,NA,NA,NA,"We still have metro tablets just not the liquid.
There is a variety of length of IV lines back here so please be mindful on which ones you use for which dogs. Some will be much too long for smaller dogs so please use the shorter ones on them. Let's save the longer ones for large dogs.
Send some good juju Sir Isaac's way. He needs it desperately. :(","Sir Isaac Newton - placed LF 24g no T-port
Marie - placed RF 24g no T-port
Shiva - replaced LF 22g no T-port"
2013-09-16 20:58:00,NA,NA,NA,NA,NA
2013-09-17 10:30:00,NA,NA,NA,"Luke s. Born on 06/10/13. He got his first DAPPL on 08/02. Second 08/17 and third 08/31. 
Also got dewormed on 08/05 with one biozoo which is (febendazole+praziquantel+ something for coccidia)","Luke s. front right."
2013-09-18 19:33:00,NA,NA,NA,"Dr. J brought back one can of recovery food just for Sir Isaac Newton.",NA
2013-09-19 10:14:00,NA,NA,NA,"I think we need to shut down the computer, when you try to use it, it doesnt want to work and you have to reset it. ","Luke skywalker- front left leg"
