"Timestamp","Dogs.in.ICU","Shift.Time","Count_Crt","Count_Int","Count_Wel","Count_Dsc","Volunteers...Staff","Catheters.Placed.Replaced.","Names_Crt","Names_Int","Names_Wel","Names_Dsc","Details_Dsc","Count_Dis","Names_Dis","Count_New","Names_New","Inventory...Medications","Inventory.Needs...Supplies","Inventory...Medical.Supplies","Additional.Information","Have.you.logged.your.volunteer.hours.at.myvolunteerpage.com..","Any.Questions.","Inventory...Food...General.Supplies","Most.Urgent.Supplies.Needed","Panleuk.Kittens","Hour_Sent","Count_Vols"
2013-06-13 12:23:00,10,4,4,2,4,1,"Kumiko, Joanna (Trainee), Amy","Max - left back
Dopey - attempted ","Max - checked catheter was completely kinked. He was stiff, cold, probably didn't get any fluids last night (please make sure you're writing the correct amount of fluids on the chart). 
 
Flynn - Vomiting A LOT!!! 
Mollie - Constant diarrhea, vomit once
Dopey - Possible ringworm, needs a new IV, doesn't have any meds yet. FF 6cc.  ","Sleepy - vomiting, found a mystery nugget in vomit. Please keep an eye on him because he hasn't been eating or been fed. 
Cookie - not eating, no vomit or diarrhea, plain LRS fluid bag ","Minnie - ate baby food (almost whole jar), BAR 
Janna - ate wet food, drank water, BAR 
Flora - ate wet/dry food, drank water, BAR 
Gooch - ate wet food, chicken sticks, and his poop =/ BAR, talkative when he sees other dogs ","Jessie ",NA,0,NA,0,NA,"Polyflex, Dextrose, Zantac, Famotidine, Buprenex, Anzemet, sucralfate, caratate, ","Critical care or Recovery food, Gloves - small, Gloves - medium, Laundry Detergent","3cc Syringes, Iodine, 24G catheters, 60cc syringe",NA,NA,NA,NA,NA,NA,12,3
2013-06-13 22:42:00,11,3.5,4,3,4,0,"Katie, Rachel","Tried to replace Max's, not successful","Max: Bloody diarrhea, green vomit. Pink gums, cold feet. lethargic. Got two hetastarch boluses and two doses of dextrose per Dr. Johnson because he still looked awful after the first time. IV baytril. He looks awful now too, treat him first in the morning. Temp  was 97.7 at the beginning of the shift, got him a sweater and put a blanket over him, up to 102.7 mid shift, so uncovered him halfway.  

Mollie: Bloody diarrhea blowout, also vomited bloody, mucus-y vomit. IV baytril. Hetastarch CRI and fluid pump. Didn't FF because she vomited after anti-emetics.

Dopey: Bloody diarrhea, vomited after FF so gave dextrose. QAR, pink, warm. Fluid and hetastarch pumps. IV Tx, IV baytril moved to morning. 

Flynn: No V/D this evening, but still pretty lethargic. IV pump. Held down FF, 9 cc Recovery. He's intermediate-ish, but pretty lethargic so I left him as critical. 

","Sleepy- diarrhea (no blood), seems to be holding down FF. QAR, pink warm. 

Cookie- SQ treatment

JC- new this afternoon. QAR, pink, and warm. No V/D since she's been here. On IV fluids. She looks pretty good right now, though intake paperwork says she was very nauseated. Not interested in food. Very sweet!
","Flora- eating, orals

Janna- BAR, eating, orals, made herself a little cave :)

MInnie- BAR, eating, only on metro, 

Gooch- eating lots, soft poop, BAR. ",NA,NA,0,"None",1,"JC- See intermediate. ","Anzemet","Laundry Detergent, Thermometers","thermometers","We got 3 loads of laundry done, but it's really piling up back there. 

This is the second shift I've found the needles for CRI hetastarch disconnected  from the fluid line even though they were taped in. When you tape in needles/lines that need to stay in (because there's not a screw-on port), make sure to tape it really well, probably with at least one loop around the fluid line that's actually in the catheter and another couple of loops around the hetastarch needle and line, not just one loop around everything. Thanks for labeling the tape, though, it makes it easy to figure out that the hetastarch line should be connected and came loose. 

I can only find one thermometer and it's not working real well.  We shouldn't be immersing them in water to wash, just wipe all visible debris off then spray with alcohol and let dry. I think a lot of the thermometers stop working because they are getting washed in the sink and the water ruins the electronics. ",NA,NA,NA,NA,NA,22,2
2013-06-14 11:09:00,10,3,3,5,2,0,"Maria P, Emily M",NA,"Mollie: most critical, on hetastarch CRI, bloody diarrhea, vomiting, QAR and cold feet but 103.4F temp

Dopey: still on IV baytril and hetastarch CRI, but no diarrhea this morning. Likes to tangle IV lines, please make sure to write down how much was left in the bags! Both were stopped this morning, not sure how much of heta/fluids he got overnight. Seems to feel better now that they are flowing

Max: generally okay, warm and QAR. handled 4ccs FF well. Shivering so we covered him up","Flynn: doing much better! QAR, FF 9ccs baby food. on oral sucralfate, still IV cefazolin and famotidine. No dextrose in IV bag any more. Sneezing a bit, watch for possible URI

Flora: BAR, all oral meds, ate on her own. Scratched neck and bust open a cyst/abscess this morning. On clavamox PO per Dr Johnson, we tried to clean it up a bit but she's quite squirmy. keep an eye on it.

JC: QAR, had some watery brown diarrhea and mucous-y vomit later in shift. not eating.

Sleepy: QAR, on IV meds and SQ baytril. FF 3ccs baby food

Cookie: SQ treatment, QAR, still does not like being poked. Handled PO meds well, not eating on own","Gooch: eating like a pig, does not like when other dogs get near his kennel.

Minnie: only on metro - please watch her, she may go downhill. Did not want wet food this morning",NA,NA,1,"Janna!",0,NA,"KCl - only 0.6mLs left, so new bags do not have it","None","only one box 10cc syringes",NA,NA,NA,NA,NA,NA,11,2
2013-06-14 22:59:00,10,3.5,3,5,2,0,"Lauren, Rachel","Max got a jugular catheter this pm","Max- QAR, jugular catheter placed earlier this evening. IV baytril, cefazolin, anzemet, and famotidine. FF a little baby food and seemed to hold it down. She is not feeling well, keep a very close eye on her. A little bit of greenish D. no v. 

Molli- QAR/leth, although part of this may be due to an earlier dose of buprinex. Not doing very well, also keep a close eye. Had BD and had vomit both before and during shift, so didn't attempt to FF. Got IV baytril, cefazolin, anzemet, famotidine. She seems to be a little more alert towards the end of shift, which is good. 

JC- QAR. Had some runny D, but not bloody. Held down some FF baby food. Got cefazolin and anzemet IV","Sleepy- QAR, runny D and watery V. Got all IV meds. 

Minnie- QAR, very adorable. Had a solid poop, but had some watery V. FF baby. 

Flynn- QAR, ate on his own tonight. IVC patent. Sneezing, so probably has URI. He had 20 mg of pepcid on his chart, but only gave him 10 mg, because that was all we had left of pepcid. 

Finnigan- Put him on the pump w/ reglan. He started w/ 104 temp, put cold packs on him, and at end of shift was 102.3. no FF due to him being extremely nauseous. 

Dopey- QAR- doing pretty well, FF baby food, Catheter blown this evening, so he was disconnected. 

","Gooch- Had some throw up, but we think it's because he ate too fast, the food wasn't even digested! Otherwise doing very well

Cookie- injections d/c, just on pepcid. Didn't eat on her own yet, but maybe tomorrow.",NA,NA,0,NA,0,NA,"IV Lines (with port + screw), Anzemet","None","none","Got some more baby food, Rachel said she will restock in the morning. Also, what are we supposed to do with the potty pads? We can't flush them down the toilet, but if they get diarrhea on them, then are we supposed to put them in the trash? Just wondering!

Good night all!! Send these puppies your love, they need it!",NA,NA,NA,NA,NA,22,2
2013-06-15 12:03:00,10,2.5,2,0,1,0,"Kumiko, Rachel, Emily R, Ayari","0
Tried to place sleepy catheter, but couldnt.","Max. when we got here he had 93.4 temp. Got two bolus of hetastarsh, and two bolus of dextrose. Still comatose. Got his temp to 100.4 and then 103.3 and got IV baytril. Please watch closely. green diarrhea and green vomit. Got bupronex. 

Mollie. Vomit and bloody diarrhea. lethargic. normal temp. added sucralfate. ","Doppy: watery yellow diarrhea, FF. On SQ because couldnt place catheter. On watch!!
Sleepy: diarrhea, FF. on SQ because couldnt place catheter. On watch.
Minnie: yellow vomit, solid poop. FF baby food. 
JC: runny brown diarrhea. FF. Vomit at end of shift.
Finnigan: No vomit, liquid green diarrhea. Interested in food, but didnt eat. FF.
Flynn: wants to get out of the cage, but had to FF, no V/D
Cookie: No V/D. FF.","Gooch: wants to get out of here!!!
",NA,NA,0,"-",0,"-","IV Lines (with port + screw), Anzemet, Pepcid, KCL","Toilet Paper","Laundry Detergent","On fluid chart, let's simply note the actual volume left in a bag. and of course reset the pump.

Please pray for MAX!

",NA,NA,NA,NA,NA,12,4
2013-06-15 21:47:00,0,2.5,1,5,3,0,"Lauren, Rebecca",NA,"Max: a little improvement since AM but still lethargic and doing kinda poorly. Low temp. Got 5ml injectable metro over 15 minutes- Dr. J requested same dose for AM- bag is by his crate. Not swallowing so couldn't ff ","Jc: QAR but unhappy. Not eating - ff 10cc bf. applied vectra (crawling with fleas).is it just me or are those eyes terrifying?
Minnie: paw a little swollen but catheter patent. Doing okay but definitely not good. Scared as can be. Ff 4cc recovery. Cone of shame cause she kept chewing her line. 
Dopey: started leaking a little blood from bum toward end of shift. Should get catheter in AM once veins are looking better. 
Quizno: not eating, not great but not bad. Warm and pink and doesn't care much for me. 
Finnigan: not eating or drinking. Catheter is positional. ","Sleepy: eating some and doing well. BAR and and adorable!!!
Flynn: not eating great but crazy happy to be moving around. 
Gooch: Lauren might take him home post Parvo- just saying. He's well. Does NOT like Flynn one bit (saw him through the crate and went crazyyyyyy ",NA,NA,0,NA,1,"Quizno","Anzemet, Pepcid","None","Nothing new ","Keep Max in your thoughts. ",NA,NA,NA,NA,NA,21,2
2013-06-16 11:40:00,8,3,0,3,5,1,"amy, Rachel, Peggy",NA,NA,"Minnie leth, had some v this am did not ff got some dextose
JC qar also had some v this am, ff some recovery and has held it down so far, also received dextrose, applied vectra for fleas
Finnegan, qar had a LOT of watery vomit, got dextrose
","Quizo bar/qar very scared took sq very well.  did not ate but drank small amount of water which he vomited. applied vectra for fleas
Flynn qar/bar doing well didnt eat at first but I think he is a grazer he eats a little here and there. no v or d
GOOCH left us a HUGE mess to clean up.  he had vomit outside of his cage, probably from eating so fast last night.  His stool appeared to be semisolid but it was smeared all over.  so far no v or d, very vocal
sleepy and doopy doing well...ate the grilled chicken (its in the fridge)  
Dopey ate so fast he made himself sick and sleepy did have some d  but gave some more food after meds and they have kept it down nicely.

","Max","He looked terrible this am, low temp and just completely out of it.  I tried to stabilize him but his poor body finally gave up.",0,NA,0,NA,"None","Critical care or Recovery food, Gloves - medium, black bags","Gloves - medium","Peggy got all of the ice out of the freezer but it needs to be completely unplugged and defrosted for probably 2 days.  When we have time we can do this.  
Also we noticed a few bags that were open but not dated or not labeled SQ....we were unsure if it does not say SQ on it can we still use it for that?  I tossed all bags that weren't dated.  Also noticed a lot of bags with reglan on the wall that were not covered...are they still good???
Thanks all....keep an eye of Minnie.

oh one last thing....we poured bleach water down Gooches drain do to sooo much poop that had fallen through it and a large roach crawled up and died, rip....can we bleach those out from time to time....they get very musty smelling from urine and vomit that land through there.",NA,NA,NA,NA,NA,11,3
2013-06-16 20:37:00,10,2,0,6,4,0,"Nipuni, Kevin","We were going to place a catheter in Quizno but he is very wiggly and looking OK still so we held off","None","Thomas Jefferson (new) - QAR, no V/D, no appetite

Caramel (new) - QAR/leth, 105.0 temp at beginning of shift has gone down to 102.0 now. On heta CRI. vomitted twice during shift and had bloody diarrhea before the shift
 
Quizno - QAR, no appetite, on SQs, No V/D, Not looking too bad so didnt place a catheter

Finnigan - QAR, druely, no V/D, FF 10cc recovery

Minnie - QAR, vomitted 1X, FF 5cc 1 hr after vomitting (holding it down ok), No D

JC- Kind of lethargic, some V/D, not FF due to vomiting recently, given dextrose though","Flynn - QAR, eating lots of dry I/D (or E/N?).

Gooch - BAR, eating lots of dry E/N, eating his feces but I think it was solid-ish?

Sleepy & Dopey - QAR, eating chicken, some e/n, FF 10cc recovery, fortiflora sprinkled on food. Yellow/brown diarrhea with tapeworms. Given virbantel.",NA,NA,0,NA,0,NA,"Polyflex, IV Lines (with port + screw), Anzemet, Metro tabs","None","22G catheters","Please leave labelled drawn up meds in the cabinet/fridge - either throw it out or put it back in the container (if you just pulled it up, realize you dont need it, and its still sterile).

We only need 1 bag for making dilutions. Pull diluent up before adding the medication to the vile. There were 5 at the beginning of shift today but I made the baytril one into a IV Bolus bag.",NA,NA,NA,NA,NA,20,2
2013-06-17 11:30:00,8,2.5,2,5,1,1,"Kumiko, Amy H., Ayari","-","Not critical, but not intermediate...
Dopey- liquid diarrhea, but eating and QAR. on SQ. watch may need IV later.
Caramel- 103.3 temp. vomit and diarrhea. got IV Baytril. still in 102.9 temp.
","Finnigan- ate some chicken, no V/D. Only got 100 cc from yesterday pump.
Flynn- ate some baby food, no V/D
Dr Jefferson want to wait for poop before test. 
Thomas Jefferson- a small vomit, got his reglan. some diarrhea.
Minnie- FF. small vomit from last night, not V/D this AM
Quizno- No V/D, on SQ per Dr. please watch may need IV later..
","Sleepy: eats well , No V/D. :)
","JC`",NA,1,"Gooch",0,"-","IV Lines (with port + screw), Zantac, Anzemet, pepcid tab, KCL","good catheter tapes. door stopper?","24G catheters, good catheter tapes.door stopper?","Please monitor Quizno and Dopey (they are on SQ )
Got baby foods, 3 new thermometers, cotton balls etc. THANKS!",NA,NA,NA,NA,NA,11,3
2013-06-17 22:04:00,8,2.5,1,6,1,0,"Katie, Melissa","Quizno- placed in RF, no T port. Started pump with all adds. 

Finnegan- Replaced in LF, no TPort. ","Caramel- QAR, pink, warm paws, fever of 103.8. Ice packs. Some bloody diarrhea, no vomit so far, but I just FF and she looks like she may vomit it back up. Only did 3cc to try and let her hold it down. Dr. K was back here around 2:30, and Caramel got a 100 mL hetastarch bolus then, so watch her. 3 ml/hr hetastarch CRI and 27 ml/hr fluids with adds.  

","Minnie- QAR, pink, warm. No V/D. IV treatment with SQ baytril. on pump. FF 9 cc. 

Finnigan- Replaced catheter b/c blown, there was no taped loop in the line so he pulled it all sideways. No vomit, but liquid brown diarrhea. Watch him, he looks like he's starting to go downhill. IV treatment. QAR pink and warm. 

Thomas Jefferson- runny brown diarrhea, no Vomit. QAR, pink, warm. IV Tx and pump. 

Sleepy and Dopey: Dopey is more active than Sleepy, but both are QAR, pink, and warm. One of them vomited, (it might have been diarrhea, but we smelled it and we're pretty sure it's vomit,) but we didn't see it happen so we're not totally sure who it was. Since Sleepy looks like he doesn't feel as good, let's say it's him. FF b/c both not eating. Dopey drank water, though. SQ treatment for both

Quizno- QAR, pink, warm, no V/D. Temp 98.6. On heating pad now. Placed catheter in RF, started IV pump at 20 ml/hr with all adds. Gave SQ treatment tonight, ask DVM in morning about IV Tx. 

","Flynn- ate a bunch of chicken, which we are now out of, also some recovery. QAR, pink, warm, with no V/D. 

",NA,NA,0,NA,0,NA,"Famotidine, Anzemet",NA,"Critical care or Recovery food, Iodine, Catheter tape, Press-N-Seal Wrap","Please don't forget to tape a loop into the line or tape down the line somehow, Finnigan's catheter was blown because it was pulled all sideways. We moved the pump more toward the middle of the run so he'll have more space after replaced the catheter. 

Dr. K has the same first and last initials I do, so I'll start writing KEK so that we don't get mixed up. - Katie",NA,NA,NA,NA,NA,22,2
2013-06-18 10:42:00,8,2.5,1,6,1,0,"Sara, Joanna, Hyeyeon",NA,"Caramel : Baytril IV, vomit, had explosive bloody diarrhea, high fever 104.5 -> 104.1 now. we put some ice pads, Please check the temperature, 

","Thomas : vomit

Quezno : ate turkey

Minnie : replaced the catheter, had vomit, 

Finnegan : had green diarrhea

Dopey : had FF, soft stool

Sleepy : ate well, soft stool

","Flynn : eating well, doing well",NA,NA,0,NA,0,NA,"None",NA,"Paper Towels","Please make sure to leave the pump line open not closed when you finish treating a puppy. (One puppy's fluid was not going when we came in.)

Thanks!",NA,NA,NA,NA,NA,10,3
2013-06-18 20:22:00,8,1.5,1,3,4,0,"Kate, Kevin, Peggy T",NA,"Caramel - Not looking good. More active after meds, but vomited and has a leaky butt. Definitely the one to look out for! Slightly positional catheter.","Minnie - Shakey as ever, but not looking any better or worse. At a little Turkey.
Quizno - Taking a slightly bad turn, but doesn't look too bad. Not much appetite.
Finnegan - Nothing to report.","Thomas Jefferson - Looking pretty good! Not on pump anymore.
Dopey - Looking a lot better!
Sleepy - Much better off (other than the worms).",NA,NA,0,NA,0,NA,"IV Lines (with port + screw), Pepcid (famotidine) tabs",NA,"None",NA,NA,NA,NA,NA,NA,20,3
2013-06-19 12:05:00,8,4,1,5,2,0,"Peggy H, Maria, Kumiko","Thomas Jefferson: LF. blood came well, flushed well when we placed it but not sure about it. Please monitor and switch it if it not working.","1)Thomas Jefferson: back On Pump, please monitor his LFcatheter, Bloody diarrhea.vomited. IV baytril. Hetastarch  Fluid accumulation under his neck ","2) Finnegan : On SQ. Ate chicken sticks, baby food
3)Quizno:  On SQ, Ate Babyfood, Monitor!
4)Minnie : On Pump, vomited, no diarrhea, 102.4F, 
5)Caramel : On Pump, catheter positional, IV baytril
","6) 7) Sleepy and Dopey
No V/D. ate cream cheese and Turkey slices!! look good!",NA,NA,1,"FLYNN!!!! yay!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1,"8) Gemni  (intermediate) 4lb , just tested positive. no V/D, no appetite.on pump. nasal discharge ","Anzemet, Pepcid (famotidine) tabs",NA,"None","BIG ROACHES!!!
Let's take garbage bags outside when you finish the shift or tie them at leaset.",NA,NA,NA,NA,NA,12,3
2013-06-19 21:41:00,12,2.5,3,3,5,0,"Lauren, Rachel","Solo got a catheter w/ T-port, as did Orchid. ","Gemni- QAR/lethargic, got IV meds. Temp of 102.9. FF baby food. No v/d

Orchid- QAR. Vomited after FF, and had BD during shift. Started on IVF, Got IV meds and bolus. 

Solo- QAR. She is on the intermediate side of critical, just seems like she could go downhill fast. Had some BD and vomited during shift several times, so didn't FF. Got most meds SQ before hooked up to IVF, but then got cefazolin and famotidine. ","Quizno- QAR, got reglan SQ and metro. Ate some baby food on his own. 

Caramel- QAR, FF 6cc baby food. Got IV meds. No dextrose since held down FF.

Thomas Jefferson- QAR. Very lovey dovey, also seems like he might be a cage diver, so watch out! Got IV meds, and FF baby food. Also gave him a butt bath to clean it off a little. ","Lolli- BAR, on parvo watch, doing fine as of now. 

Minnie- QAR, eating on her own (loves those vienna sausages), just got metro. 

Karma- Parvo watch, doing fine as of now. 

Sleepy- BAR, ate a little cream cheese, but also FF some baby food. Got oral meds. 

Dopey- QAR, didn't really eat, so FF baby food. Got reglan and famotidine SQ, and oral meds. 
There were two different poops in their cage, one was really runny brown diarrhea, the other a soft poop, not sure which belonged to which. 

Finnigan- QAR, eating some wet/dry, just got orals. 
",NA,NA,0,NA,4,"Lolli and Karma- Both just on parvo watch

Orchid- critical, see above

Solo- intermediate-critical, see above","None",NA,"Cream Cheese","Have a great night!!",NA,NA,NA,NA,NA,21,2
2013-06-20 11:44:00,12,4,3,2,7,0,"Joanna, Ayari","0","Orchid- Bloody vomit, no diarrhea, got hetastarch, iv baytril, anzemet and famotidine, dextrose bolus. Didnt change her catheter since she got all her fluids and pump wasnt beeping. 

Gemni(Glover)- liquid brown diarrhea, vomit after FF. temp was 101.9 when we got here, and was 103.7 when we started his treatment. Got IV baytril and anzemet.

Solo- QAR. greenish vomit.brown diarrhea. got IV baytril, dextrose bolus and hetastarch","Thomas Jefferson: small diarrhea, and vomit. 
Caramel- no V/D. FF
","Minnie- no V/D. ate by herself
Quizno- no V/D ate by himself
Finnigan- No V/D ate some food
Dopey- ate by himself. got his vaccine.
Sleepy- ate by himself. got his vaccine. 
Karma- lots of poop in kennel. ate.
Lolli- ok. No V/D. didnt eat. ",NA,NA,0,"-",0,"-","None",NA,"Critical care or Recovery food, 22g needles","-",NA,NA,NA,NA,NA,11,2
